,,,,,,,,,
Professor of Statistics,University of Minnesota at Morris,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/8/005/086/0b3/35f2cbf.jpg,Hollywood Movie Analysis by Machine Learning,,Jong-Min,Kim,2,Garden Room,10:00
Principal Engineer/Founder and Architect,Tintri,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/7/000/1ac/096/19661d1.jpg,Exploring Data from Real-World Virtual Machines,,Mark,Gritter,2,Auditorium,10:00
Director Data Strategy & Architecture,Optum,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAALyAAAAJDE4MWYxZGI0LTdjZDAtNGYzNS04YjYzLWQ5ZDIzOWUwZDUxNg.jpg,How I Learned to Stop Worrying and Love Data Governance,,Gabe,Hart,3,P0806,11:00
Senior Director of AI & ML,Optum Technologies,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/3/000/11a/3a8/34522bc.jpg,Cognitive Rational Intelligent Agent,,Matthew,Versaggi,6,P0808,3:15
Optum,,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/5/000/207/1d2/00b5d3d.jpg,Optimizing a Big Data Platform Using Big Data Technologies,,Bosky,Mathew,5,P0808,1:15
Director Information Technology & Sr. Enterprise Architect,Optum,,,,Raimund,Dettmer,0,P1808,11:45
Clojure + Scala Engineer,SimplyCredit,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/8/000/256/3e8/19f9027.jpg,Deep Learning Made Easy: Building a Better Tensorflow,,Stephen ,Hopper,3,P1808,11:00
Principal Consultant,Accredent,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/8/000/1fc/2a2/339f909.jpg,Let go of your Data and look at the real world,,Jen,Nowlin,1,P0838,9:00
Chief Data Scientist,Ars Quanta,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/3/000/033/09f/1cf2796.jpg,R workshop,,John,Chandler,5,P1804,1:15
Data Scientist,Honeywell,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/4/005/050/276/3286306.jpg,Analytics for the Industrial Internet of Things: Mining the Cyber-Industrial World,,Wendy,Foslien,4,Garden Room,11:45
